"","1km_SACSPA_STDcost_LA_bp_0.01","1km_SACSPA_STDcost_LA_bp_0.0127","1km_SACSPA_STDcost_LA_bp_0.0154","1km_SACSPA_STDcost_LA_bp_0.01811","1km_SACSPA_STDcost_LA_bp_0.02081","1km_SACSPA_STDcost_LA_bp_0.02351","1km_SACSPA_STDcost_LA_bp_0.02622","1km_SACSPA_STDcost_LA_bp_0.02892","1km_SACSPA_STDcost_LA_bp_0.03162"
"Blondekrigged_pa.tif",0.299,0.303,0.3,0.327,0.321,0.318,0.316,0.307,0.322
"BullHusskrigged_pa.tif",0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
"Circalittoral_coarse_sediment_1km.tif",0.616,0.616,0.617,0.618,0.615,0.615,0.615,0.615,0.616
"Circalittoral_mud_1km.tif",0.521,0.521,0.521,0.561,0.557,0.502,0.503,0.507,0.514
"Circalittoral_rock_and_biogenic_reef_1km.tif",0.356,0.357,0.357,0.388,0.37,0.364,0.366,0.376,0.385
"Circalittoral_sand_1km.tif",0.479,0.479,0.481,0.487,0.477,0.474,0.482,0.477,0.484
"cshas_forage_fish_4_and_up.tif",0.281,0.281,0.28,0.281,0.28,0.28,0.281,0.28,0.28
"IfI_Anguilla_anguilla_estuaries_rivermouths_pa_500m.tif",0.637,0.625,0.637,0.611,0.625,0.625,0.614,0.625,0.625
"Infralittoral_coarse_sediment_1km.tif",0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
"Infralittoral_mud_1km.tif",0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.381
"Infralittoral_rock_and_biogenic_reef_1km.tif",0.384,0.384,0.384,0.386,0.367,0.367,0.386,0.367,0.367
"Infralittoral_sand_1km.tif",0.567,0.567,0.567,0.567,0.543,0.543,0.567,0.543,0.543
"juvenile_blue_skate.tif",0.305,0.349,0.317,0.29,0.285,0.295,0.297,0.28,0.295
"kelp_pa_1km.tif",0.735,0.735,0.735,0.737,0.737,0.737,0.737,0.737,0.737
"mature_female_flappers.tif",0.748,0.769,0.773,0.85,0.843,0.834,0.849,0.79,0.831
"MI_Herring_Spawning_Beds_percent_cover.tif",0.717,0.717,0.717,0.717,0.717,0.717,0.72,0.717,0.721
"observe_density_2021_2022_1km.tif",0.295,0.294,0.293,0.343,0.342,0.308,0.332,0.327,0.317
"OBSERVE_predicted_cetorhinus_maximus.tif",0.339,0.35,0.34,0.378,0.373,0.369,0.382,0.352,0.368
"Offshore_circalittoral_coarse_sediment_1km.tif",0.282,0.282,0.285,0.296,0.299,0.307,0.307,0.297,0.316
"Offshore_circalittoral_mixed_sediment_1km.tif",0.4,0.371,0.4,0.343,0.4,0.4,0.371,0.4,0.4
"Offshore_circalittoral_mud_1km.tif",0.28,0.291,0.28,0.28,0.28,0.28,0.28,0.28,0.28
"Offshore_circalittoral_rock_and_biogenic_reef_1km.tif",0.436,0.446,0.46,0.569,0.573,0.494,0.562,0.572,0.499
"Offshore_circalittoral_sand_1km.tif",0.288,0.292,0.283,0.303,0.3,0.28,0.289,0.299,0.28
"RJF_occProb_Shagreen_ray.tif",0.281,0.284,0.28,0.28,0.28,0.283,0.28,0.28,0.289
"sabellaria_layer_binary_1km.tif",0.471,0.471,0.471,0.471,0.471,0.471,0.471,0.471,0.471
"Salmon_Estuaries_Rivermouths_pa_500m.tif",0.676,0.665,0.676,0.651,0.665,0.665,0.653,0.665,0.665
"sandeels_logged_buffered_1km.tif",0.282,0.282,0.281,0.28,0.31,0.307,0.298,0.29,0.301
"seapen_layer_binary_1km.tif",0.284,0.295,0.284,0.295,0.29,0.284,0.29,0.284,0.29
"Turbotkrigged_pa.tif",0.28,0.28,0.28,0.287,0.285,0.286,0.28,0.282,0.288
"UCD_OC_stock_kg_m2_upper10cm.tif",0.281,0.286,0.281,0.298,0.296,0.287,0.293,0.295,0.29
"UCD_Percentatge_OC_content_in_sediment.tif",0.281,0.286,0.28,0.295,0.294,0.285,0.291,0.293,0.289
"zostera_pa_1km.tif",0.678,0.712,0.678,0.678,0.678,0.678,0.678,0.678,0.678
"CelticSeaFront",0.56,0.56,0.56,0.561,0.56,0.56,0.56,0.56,0.56
"coastal_front",0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
"Existing_Protected_Areas",0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
